Continent,Region,ALL,ANT,NAT,GHG,OA
,ESB,"2.4 [1.9, 2.8]","2.5 [2.1, 3.0]","0.0 [-0.3, 0.3]","2.6 [2.0, 3.3]","-0.2 [-1.2, 0.8]"
,RFE,"1.9 [1.3, 2.6]","2.0 [1.4, 2.6]","0.1 [-0.2, 0.4]","2.9 [2.1, 3.6]","-1.0 [-2.1, 0.0]"
,WCA,"2.1 [1.7, 2.4]","2.0 [1.6, 2.3]","0.1 [-0.2, 0.3]","2.2 [1.3, 3.0]","-0.3 [-1.3, 0.6]"
,ECA,"1.8 [1.4, 2.2]","1.7 [1.3, 2.0]","0.1 [-0.0, 0.2]","2.2 [1.6, 2.8]","-0.7 [-1.4, -0.0]"
,TIB,"1.9 [1.4, 2.5]","1.8 [1.3, 2.4]","0.1 [-0.0, 0.2]","2.4 [1.7, 3.1]","-0.6 [-1.5, 0.2]"
,EAS,"1.5 [1.3, 1.8]","1.4 [1.2, 1.6]","0.1 [0.0, 0.2]","2.1 [1.6, 2.5]","-0.7 [-1.2, -0.1]"
,ARP,"1.8 [1.5, 2.1]","1.7 [1.3, 2.1]","0.1 [-0.1, 0.2]","2.0 [1.4, 2.6]","-0.3 [-0.9, 0.4]"
,SAS,"1.2 [1.0, 1.5]","1.1 [0.9, 1.4]","0.1 [-0.0, 0.2]","1.8 [1.3, 2.2]","-0.7 [-1.1, -0.2]"
Australasia,SEA,"1.0 [0.9, 1.2]","0.9 [0.8, 1.1]","0.1 [-0.0, 0.1]","1.2 [0.9, 1.5]","-0.3 [-0.6, 0.1]"
,NAU,"1.1 [0.9, 1.2]","1.0 [0.8, 1.1]","0.0 [-0.0, 0.1]","1.2 [0.8, 1.5]","-0.2 [-0.6, 0.1]"
,CAU,"1.4 [1.0, 1.7]","1.3 [1.0, 1.5]","0.0 [-0.1, 0.2]","1.6 [1.1, 2.1]","-0.3 [-0.8, 0.1]"
,EAU,"1.3 [1.1, 1.6]","1.2 [1.0, 1.4]","0.0 [-0.2, 0.2]","1.6 [1.1, 2.1]","-0.4 [-0.8, -0.1]"
,SAU,"1.1 [0.9, 1.3]","1.0 [0.7, 1.2]","0.1 [-0.1, 0.3]","0.9 [0.5, 1.3]","0.0 [-0.4, 0.4]"
,NZ,"1.0 [0.9, 1.2]","1.0 [0.8, 1.2]","-0.1 [-0.2, 0.1]","0.9 [0.5, 1.3]","0.1 [-0.4, 0.5]"
Antarctica,EAN,"1.2 [0.7, 1.7]","1.0 [0.7, 1.3]","0.1 [-0.2, 0.3]","1.2 [0.3, 2.1]","-0.2 [-0.9, 0.5]"
,WAN,"1.7 [0.8, 2.5]","1.1 [0.4, 1.9]","0.0 [-0.2, 0.3]","1.5 [0.5, 2.4]","-0.3 [-1.0, 0.3]"
Other,LSAT,"1.6 [1.4, 1.8]","1.5 [1.3, 1.7]","0.0 [-0.1, 0.2]","1.8 [1.1, 2.4]","-0.3 [-1.0, 0.4]"
